Sample_ID,Ct_Undigested_DNA-AHRR,Ct_Digested_HpaII-AHRR,Ct_Digested_MspI-AHRR,ePCR-AHRR,%5mc-AHRR,Ct_Undigested_DNA-PRSS23,Ct_Digested_HpaII-PRSS23,Ct_Digested_MspI-PRSS23,ePCR-PRSS23,%5mc-PRSS23
S1,21.55,21.06,26.93,96.79,100,18.34,22.33,25.52,92.59,1.36394E-05
S2,20.98,21.93,27.69,91.31,13.58356254,22.26,21.01,33.93,96.91,100
S3,20.26,21.22,27.07,96.79,12.28336428,24.92,25.52,26.93,96.91,NA
S4,21.14,21.33,26.98,96.79,100,18.73,20.13,25.85,96.91,1.632458424
S5,20.51,21.21,27.9,96.79,40.43839291,18.16,20.44,25.9,96.91,0.028901097
S6,19.94,20.25,26.91,96.79,100,Und.,21,27,96.91,NA
S7,20.16,20.75,25.18,96.79,66.94625336,18.21,18.93,25.37,96.91,36.86417538
S8,20.55,20.31,25.24,96.79,100,22.47,19.69,Und.,96.91,NA
S9,20.5,20.06,26.25,96.79,100,18.37,19.88,24.82,96.91,0.985941515
S10,20,20.75,26.59,96.79,32.1572695,18.42,19.63,24.42,96.91,3.900311278
S11,19.53,20.11,26.66,96.79,70.08566868,17.7,19.96,24.71,96.91,0.031676039
S12,20.49,21.7,26.19,95.08,3.990378362,17.38,18.98,25.28,96.91,0.652644555
S13,20.64,21.37,25.57,90.4,37.02621146,20.98,21.53,26.55,96.8,80.41066057
S14,26.9,20.98,27.45,96.91,NA,19.93,22.07,27.25,96.8,0.055039547
S15,21.67,21.27,31.13,96.91,100,19.81,21.75,26,96.8,0.137639353
S16,24.6,21.28,26.84,95.08,NA,19.83,21.07,26.88,96.8,3.403923727
S17,25.19,32.48,24,90.4,NA,19.67,21.56,26.91,96.8,0.173085053
S18,20.43,23.09,26.96,90.4,0.006079714,20.09,22.28,29.24,96.8,0.043768122
S19,20.14,20.46,26.21,90.4,100,20.1,22.17,26.7,96.8,0.075857508
S20,20.87,20.69,26.59,90.4,100,20.05,21.54,27,96.8,1.082418251
S21,20.02,21.35,26,90.4,2.46570752,20.19,22.54,27.37,96.8,0.021023436
S22,20.07,20.59,25,90.4,95.56700554,19.98,21.62,27.9,96.8,0.544307449
S23,21.07,20.59,23.77,95.08,NA,20.1,21.55,26.97,96.8,1.300195506
S24,17.25,20.82,23.97,94.5,8.53863E-05,18.08,20.5,24,96.59,0.015333423
S25,20.88,25.14,25.48,94.5,0,20.92,21.53,25.78,96.59,61.1593352
S26,20.16,21.59,26.44,94.5,1.474331616,19.91,21.76,26.74,96.59,0.208737348
S27,21.9,21.97,26.6,94.5,100,21.62,22.58,27.12,96.59,12.30752976
S28,19.87,21.15,25.7,94.5,2.921431343,21.37,21.59,26.56,96.59,100
S29,20.42,21,27.18,91.31,72.46957668,21.22,21.73,31.36,96.59,96.69483748
